frame,fps,cpu_ms,gpu_ms,rays_per_second,active_nodes,offloaded_nodes,gpu_memory_mb
81,63.7626,9.43675,8.64742,1.06575e+08,4972,1,115.188
82,56.6568,8.92908,8.16717,1.12842e+08,4972,1,115.188
83,59.9982,9.56529,8.73988,1.05448e+08,4972,1,115.188
84,60.0066,9.44625,8.66525,1.06356e+08,4972,1,115.188
85,59.9793,14.0336,13.1699,6.99779e+07,4972,1,115.188
86,59.9389,15.1576,14.3721,6.41243e+07,4972,1,115.188
87,60.0841,15.1576,14.3721,6.41243e+07,4972,1,115.188
88,59.9308,2.73796,18.7842,4.90626e+07,4972,1,115.188
89,60.0707,13.0954,28.9934,3.17866e+07,4972,1,115.188
90,52.9308,17.7194,33.6975,2.73492e+07,4972,1,115.188
91,60.765,5.64067,33.2662,2.77038e+07,4972,1,115.188
92,27.6632,35.6055,46.8148,1.96861e+07,4972,1,115.188
93,65.7998,16.879,44.0653,2.09144e+07,4972,1,115.188
94,27.6154,15.1015,64.5819,1.42703e+07,4972,1,115.188
95,30.071,15.2888,64.616,1.42627e+07,4972,1,115.188
96,19.9876,46.0665,51.8158,1.77861e+07,4972,1,115.188
97,61.142,7.52167,39.8807,2.31089e+07,4972,1,115.188
98,29.306,32.8138,48.3538,1.90595e+07,4972,1,115.188
99,67.4777,12.6557,43.0556,2.14049e+07,4972,1,115.188
100,31.1241,6.07213,51.8121,1.77873e+07,4973,0,115.188
101,29.7382,1.47558,48.2772,1.90897e+07,4973,0,115.188
102,60.986,14.947,44.4978,2.07112e+07,4973,0,115.188
103,31.413,7.8215,52.7194,1.74812e+07,4973,0,115.188
104,29.8076,33.0299,44.4591,2.07292e+07,4973,0,115.188
105,61.4336,9.11783,36.5285,2.52296e+07,4973,0,115.188
106,29.5098,1.05742,46.155,1.99675e+07,4973,0,115.188
107,63.1061,9.95888,37.202,2.47729e+07,4973,0,115.188
108,29.6553,4.174,48.9114,1.88422e+07,4973,0,115.188
109,62.0978,17.3789,44.8087,2.05674e+07,4973,0,115.188
110,29.4806,7.59037,52.5037,1.7553e+07,4973,0,115.188
111,29.9962,32.0138,43.6007,2.11373e+07,4973,0,115.188
112,61.2162,8.04508,35.7106,2.58075e+07,4973,0,115.188
113,29.6145,0.186291,45.0319,2.04655e+07,4973,0,115.188
114,61.9277,12.5384,39.7584,2.318e+07,4973,0,115.188
115,29.8036,5.25683,49.7938,1.85083e+07,4973,0,115.188
116,30.1019,3.19996,47.5554,1.93795e+07,4973,0,115.188
117,60.0533,20.7967,48.4768,1.90112e+07,4973,0,115.188
118,20.0333,48.2361,59.4861,1.54927e+07,4973,0,115.188
119,59.2495,10.0063,37.9739,2.42693e+07,4973,0,115.188
